order_id,item_id,product_id,quantity,list_price,discount
Ord1,1,CRB20,1,599.99,0.2
Ord1,2,MOB8,2,1799.99,0.07
Ord1,3,CYB10,2,1549,0.05
Ord1,4,CRB16,2,599.99,0.05
Ord1,5,MOB4,1,2899.99,0.2
Ord10,1,CRB14,1,269.99,0.1
Ord100,1,CRB12,2,549.99,0.05
Ord100,2,CYB11,2,1680.99,0.1
Ord100,3,MOB7,2,3999.99,0.2
Ord100,4,CRB16,2,599.99,0.2
Ord100,5,CMB24,2,549.99,0.1
Ord1000,1,CRB65,2,346.99,0.05
Ord1000,2,CMB111,1,470.99,0.1
Ord1000,3,CRB19,2,449,0.07
Ord1000,4,MOB29,2,999.99,0.05
Ord1001,1,CRB72,1,619.99,0.05
Ord1001,2,MOB45,2,869.99,0.05
Ord1001,3,RDB58,1,4999.99,0.1
Ord1001,4,CMB111,1,470.99,0.07
Ord1002,1,CHB100,1,489.99,0.05
Ord1002,2,CHB83,1,149.99,0.1
Ord1002,3,MOB8,2,1799.99,0.1
Ord1002,4,CRB79,1,402.99,0.2
Ord1003,1,MOB34,2,469.99,0.05
Ord1003,2,RDB51,2,6499.99,0.05
Ord1004,1,MOB36,2,832.99,0.1
Ord1005,1,CRB14,2,269.99,0.2
Ord1005,2,CRB81,2,1099.99,0.1
Ord1005,3,CHB99,1,299.99,0.1
Ord1006,1,CRB20,1,599.99,0.07
Ord1006,2,CRB68,1,449.99,0.1
Ord1006,3,RDB56,2,5499.99,0.07
Ord1006,4,CRB65,1,346.99,0.1
Ord1006,5,MOB46,1,1409.99,0.1
Ord1007,1,CMB26,1,599.99,0.2
Ord1007,2,CYB11,1,1680.99,0.05
Ord1007,3,CHB85,2,329.99,0.1
Ord1007,4,CRB76,1,299.99,0.2
Ord1007,5,CMB106,2,449.99,0.1
Ord1008,1,CRB71,1,416.99,0.2
Ord1008,2,MOB2,1,749.99,0.1
Ord1008,3,CHB95,1,299.99,0.07
Ord1009,1,CHB95,2,299.99,0.07
Ord1009,2,MOB44,1,539.99,0.07
Ord101,1,CRB12,2,549.99,0.2
Ord1010,1,CMB109,2,416.99,0.1
Ord1011,1,CHB88,1,189.99,0.2
Ord1011,2,CHB99,2,299.99,0.2
Ord1011,3,CRB16,2,599.99,0.2
Ord1011,4,CRB68,2,449.99,0.05
Ord1012,1,MOB8,1,1799.99,0.07
Ord1012,2,CRB64,1,489.99,0.2
Ord1013,1,ELB60,2,1559.99,0.05
Ord1014,1,CHB97,1,349.99,0.2
Ord1014,2,MOB45,2,869.99,0.05
Ord1014,3,CRB81,2,1099.99,0.1
Ord1014,4,RDB59,1,2599.99,0.05
Ord1015,1,MOB6,2,469.99,0.1
Ord1015,2,CRB73,2,749.99,0.2
Ord1015,3,CHB101,2,339.99,0.1
Ord1015,4,CRB13,1,269.99,0.2
Ord1016,1,CRB76,2,299.99,0.07
Ord1017,1,CHB89,1,209.99,0.07
Ord1017,2,CRB82,2,659.99,0.2
Ord1017,3,CHB100,1,489.99,0.2
Ord1017,4,CRB18,2,449,0.2
Ord1017,5,CRB77,2,799.99,0.1
Ord1018,1,CRB76,2,299.99,0.07
Ord1018,2,CHB97,2,349.99,0.1
Ord1018,3,CHB91,1,349.99,0.2
Ord1019,1,MOB30,1,999.99,0.1
Ord1019,2,RDB52,1,875.99,0.2
Ord1019,3,MOB37,1,379.99,0.05
Ord1019,4,CHB93,2,209.99,0.2
Ord102,1,CRB15,1,529.99,0.05
Ord102,2,CHB22,1,269.99,0.07
Ord1020,1,CRB20,2,599.99,0.05
Ord1020,2,CRB69,2,416.99,0.05
Ord1020,3,CRB15,1,529.99,0.07
Ord1020,4,RDB57,2,1999.99,0.1
Ord1020,5,MOB40,2,4999.99,0.05
Ord1021,1,RDB49,2,3499.99,0.07
Ord1021,2,CHB23,2,299.99,0.07
Ord1022,1,MOB33,1,469.99,0.2
Ord1022,2,MOB46,1,1409.99,0.1
Ord1022,3,CRB65,1,346.99,0.07
Ord1022,4,MOB5,1,1320.99,0.07
Ord1023,1,CHB91,1,349.99,0.07
Ord1023,2,MOB43,2,5299.99,0.1
Ord1024,1,CMB104,1,481.99,0.2
Ord1024,2,MOB28,2,2499.99,0.05
Ord1024,3,CHB98,2,489.99,0.2
Ord1024,4,CHB96,2,349.99,0.1
Ord1024,5,CHB91,1,349.99,0.2
Ord1025,1,CHB89,1,209.99,0.07
Ord1025,2,CMB102,1,489.99,0.1
Ord1025,3,MOB39,1,1499.99,0.1
Ord1025,4,CRB15,1,529.99,0.05
Ord1025,5,CRB66,2,250.99,0.05
Ord1026,1,MOB7,2,3999.99,0.07
Ord1027,1,CHB95,2,299.99,0.1
Ord1027,2,CRB14,2,269.99,0.05
Ord1028,1,CMB111,2,470.99,0.1
Ord1028,2,CYB10,1,1549,0.2
Ord1028,3,MOB41,1,1469.99,0.2
Ord1028,4,MOB35,2,832.99,0.1
Ord1028,5,CMB108,1,449.99,0.2
Ord1029,1,CRB20,1,599.99,0.2
Ord1029,2,RDB55,1,2699.99,0.1
Ord1029,3,MOB40,1,4999.99,0.2
Ord1029,4,CRB68,2,449.99,0.1
Ord103,1,CRB17,1,429,0.07
Ord103,2,MOB3,1,999.99,0.05
Ord103,3,CRB18,1,449,0.2
Ord103,4,CRB15,2,529.99,0.1
Ord103,5,ELB9,2,2999.99,0.1
Ord1030,1,MOB27,1,999.99,0.05
Ord1030,2,CYB10,2,1549,0.1
Ord1030,3,CRB72,1,619.99,0.1
Ord1031,1,MOB27,2,999.99,0.2
Ord1031,2,CMB108,2,449.99,0.2
Ord1032,1,ELB60,2,1559.99,0.1
Ord1032,2,CRB17,1,429,0.1
Ord1033,1,CMB26,1,599.99,0.07
Ord1033,2,CMB109,2,416.99,0.1
Ord1033,3,MOB27,2,999.99,0.07
Ord1034,1,CHB101,1,339.99,0.1
Ord1034,2,MOB8,2,1799.99,0.1
Ord1034,3,CYB11,2,1680.99,0.07
Ord1034,4,CHB21,1,269.99,0.05
Ord1035,1,CHB96,1,349.99,0.2
Ord1036,1,RDB55,2,2699.99,0.1
